,video_id,rating
655,pOZ5FrTMQMA,48
656,oK4me2hI_Jo,57
657,SMinvx9EkPs,10
658,DdA7tUIzA5Q,53
659,t4QwhVt5Zk0,35
660,YrTKLZi6rqk,48
661,xHvVhhFvLtY,34
662,XpVt6Z1Gjjo,22
663,TPnuT2TLvLQ,15
664,WYYvHb03Eog,1
665,CzYM4ZpSDJg,17
666,z5eG8fD-hQw,-3
667,5eSSL8hRU_E,11
668,Q1eQw4ycgQM,7
669,WCYHrvLTaqg,34
670,KCiahBMis1E,5
671,hqHlIRZnF38,37
672,zAtHxJvSczA,13
673,B8G8m08G_yo,21
674,dWWQsXRwHb4,24
675,3TDk34hnSXc,23
676,9lzPw4EOqto,-3
677,TdH_NL35Nbw,22
678,sjlHnJvXdQs,21
679,O-eWLaO3gy4,50
680,cLdxuaxaQwc,9
681,QQVWMp_xgGg,12
682,Xqpf1FxU2q4,27
683,4MkC65emkG4,17
684,Zmi9iQp6944,65
685,iIYXR4axaJY,51
686,RsG37JcEQNw,24
687,zcqZHYo7ONs,39
688,I1P7GoZcZpU,13
689,FfRGxN2zeWU,49
690,-Ifnaxi2LQg,20
691,IYvEhgYy35I,34
692,dtqlSPt4z20,12
693,cMKX2tE5Luk,37
694,ZtXkNMbjOEE,34
695,eERPlIdPJtI,62
696,wfZGngrCpys,14
697,sgBGvgxuXvQ,39
698,n4wFyyW71zs,26
699,KEBDxhqhzF0,39
700,SjZWJoNYpHI,15
701,1L7JFN7tQLs,14
702,EwujR1ARsog,0
703,j3MvNvV27hw,64
704,R6ja9qNmOaM,26
705,CsdzflTXBVQ,17
706,H8t5M9_Tvzk,40
707,AQa9pEkQ_0Y,59
708,5fsEPf_Uuao,19
709,unIkqhB2nA0,-8
710,6z-X4r5JkyI,29
711,ZQK1F0wz6z4,26
712,K5-f1Bnltu8,15
713,zgLtEob6X-Q,13
714,_ANP3HR1jsM,22
715,A0lYm7Qsbak,20
716,Ayb_2qbZHm4,33
717,ZCQuasiJgYM,10
718,JhA1Wi9mrns,34
719,lv5uC6cfO5c,18
720,T_t-ByJoDgM,70
721,q9o_VjdugHw,1
722,4F2KWDQQMhY,62
723,UCrBICYM0yM,20
724,NWwBpOUkx9g,4
725,LcZ2AuvxXNA,27
726,w8fAellnPns,9
727,EuvVOA8uvsc,22
728,0fsKoK9yLE0,44
729,QBGaO89cBMI,20
730,T_PuZBdT2iM,20
731,HcNcOnIkQQU,57
732,JJc1Tqcu-8E,45
733,bAMinWdgUCg,57
734,3qVHkOOyD5s,24
735,4Yue-q9Jdbk,36
736,ql0Op1VcELw,34
737,NYD9ByC0c_I,30
738,_lGL4Um83LM,10
739,i2kJUYeb1Kw,20
740,JO7X9ZPoAp8,10
741,GdoNKbGQs9U,41
742,Iq13mG9l6o0,1
743,QH0fGSqow3c,4
744,mYphOR0Jegw,43
745,iptgKv3iApI,15
746,5jRYB3nGxmc,34
747,B7YaMkCl3XA,25
748,WWexI9YiLSc,17
749,EgUXkpAyqps,10
750,Vjc459T6wX8,30
751,uBGECC5U09Q,2
752,FMVw_Ty8qTY,63
753,2wxyDrfwlXQ,35
754,yFMZl_nYkbw,37
755,h_mpwaCJUrY,11
756,j9g7FpCSF5Y,33
757,JZDM1bLn7sM,65
758,tSwWCJHHTGc,30
759,giIP0XdT7SA,31
760,pyZVUC5jeVw,4
761,oDIDZ9EmQfA,24
762,O78Lpo4ctSE,42
763,1ZNZY-gd3K0,-7
764,l_uNfGY3v8E,-19
765,bAon04ZJhHE,14
766,zTjcPeb2Gwg,43
767,a7Sf_H2cFdM,40
768,z1g7n0QZvvE,3
769,hQbeB0YXLhs,74
770,C9LMDZTg17Y,50
771,6SaFJLHa-Vk,21
772,g6piCiaGMZs,11
773,xA70bP5uzao,52
774,EmjMWi0MBXQ,10
775,_SRNenu07Lw,1
776,F1DxLQbx_bU,57
777,_pc1kON-doU,35
778,I0Se3ce433Q,7
779,74zJ4scJzNs,-9
780,SHq2qrFUlGY,2
781,LBLGo2y_BBU,23
782,KFUIVfKTeVg,11
783,dYstFRuPz8A,1
784,d8U5funnyA8,9
785,MeGyZJiB-FQ,6
786,p_P9J97ELlg,57
787,446dbFQEFJU,18
788,gDFZS0BVsBY,11
789,GyxgtAwn34A,22
790,nivfxoep6Rs,27
791,RJuqdTXhDX4,20
792,bcouc6NW4aM,1
793,XIUGqfTkaWk,36
794,ZT1JsE_YbFs,29
795,XlXBLvT9Vj0,19
796,equByOb9j5E,9
797,krNNMFpA1wY,34
798,Q2Ku7ELCBag,23
799,t4or1t4iHK0,22
800,2y7rk7eHHAM,1
801,LP4qYyTPyl4,46
802,etmUU1bs41s,12
803,Zr22PtGd1So,20
804,368_ovPsJk8,25
805,0501BTnbrxg,40
806,lno7AN8hLvQ,40
807,3la8bsi4P-c,16
808,a41k9oJN0FI,16
809,6x62O8A8qHw,25
810,rFFo-0v_vi4,41
811,XvPWUkHjWG0,25
812,zJqk0iM96iE,13
813,30QPEkhcYeQ,5
814,2Hz4sDjXPQY,11
815,tBN9kLaS-uw,35
816,gIE105f0ejg,1
817,bxgFjzRW6EA,36
818,_5ZrSKpbdSg,20
819,np1RFbKh5a0,39
820,nnTcCS07DKQ,4
821,4cfL9nTNugM,50
822,rCo4gIZu0DY,32
823,AAZbviHZVhE,19
824,WpddITk3bK8,30
825,1u5jO57eD-U,22
826,XSLc0d5aM04,-2
827,CuXq1hOa8_Y,5
828,RLmqKBRqyA8,37
829,bvim4rsNHkQ,30
830,uWFAD84I66I,38
831,o97_jDomyqc,45
832,zKriLekFPwg,44
833,w-n3qiLeVqg,-5
834,wIml3h1rHVc,14
835,pOZ5FrTMQMA,55
836,Q07Cp6tswnQ,23
837,Xul7ku1XxRY,14
838,4Rg-YN7XFcM,12
839,Uc32z-wgxU4,25
840,gzh6tcMsyoQ,50
841,2zISrf-7V3U,41
842,uV002CSNDac,27
843,CYoRmfI0LUc,27
844,FSOxXsYVJMQ,26
845,7YAAyUFL1GQ,31
846,FgSSk7xLW9w,21
847,cNgT8qEQJ3w,9
848,fcubmjoGH7I,44
849,0qfgZJNCCJQ,30
850,xsWO0dRf1p0,39
851,uNseVux0CA4,40
852,7bdZn5MKugo,45
853,RsCsBqIlnHw,65
854,EbthMC6spAE,37
855,MdBu21i9aEE,34
856,H7ojygIbMYk,38
857,LolP3Y7_Irs,38
858,oqmSuPJfvJo,11
859,KCiahBMis1E,6
860,cxLQAuQsOWI,36
861,9HIkG6vMk6E,46
862,Auu9Sxxt5is,3
863,bvomHFZO0mk,26
864,SMinvx9EkPs,10
865,hMfIIxf8ADo,49
866,a6y01PSb6qU,39
867,Q1eQw4ycgQM,9
868,Wb-6fhfAn2I,31
869,F4ELqraXx-U,24
870,fS5xHHqW-6E,64
871,4X6a3G_0HjY,-4
872,TngCi2s5rmk,20
873,Y7tLoqNjkks,0
874,OWRufUWhSwM,13
875,0eKdNcP4xrM,38
876,DdA7tUIzA5Q,52
877,bAdqazixuRY,49
878,Zya-JNMJ62k,28
879,dWWQsXRwHb4,21
880,YrTKLZi6rqk,48
881,hqHlIRZnF38,32
882,t4QwhVt5Zk0,39
883,oK4me2hI_Jo,46
884,UqmxHwLI9yg,48
885,5eSSL8hRU_E,10
